Movie ID,Rating ID
11,8115
11,8116
11,8117
11,8118
11,8119
11,8120
11,8121
11,8122
11,8123
12,12451
12,12452
12,12453
12,12454
12,12455
12,12456
12,12457
12,12458
12,12459
12,12460
12,12461
12,12462
12,12463
12,12464
12,12465
12,12466
12,12467
12,12468
12,12469
12,12470
12,12471
12,12472
12,12473
12,12474
12,12475
12,12476
12,12477
12,12478
12,12479
12,12480
12,12481
12,12482
12,12483
12,12484
12,12485
12,12486
12,12487
12,12488
12,12489
12,12490
12,12491
12,17849
12,17850
12,17851
12,17852
12,17853
12,17854
12,17855
12,17856
12,17857
12,17858
12,17859
12,17860
12,17861
12,17862
12,17863
12,17864
12,17865
12,57789
12,57790
12,57791
12,57792
12,57793
12,57794
12,57795
12,57796
12,57797
12,57798
12,57799
12,57800
12,57801
12,57802
12,57803
12,57804
12,57805
12,57806
12,57807
12,57808
12,57809
12,57810
12,57811
12,57812
12,57813
12,57814
12,57815
12,57816
12,57817
12,68066
12,68067
12,68068
12,68069
12,68070
12,81927
12,81928
13,7858
13,7859
13,7860
13,7861
13,7862
13,7863
13,7864
13,7865
13,7866
13,7867
13,7868
13,7869
13,7870
13,7871
13,7872
13,7873
13,7874
13,7875
13,7876
13,7877
13,7878
13,7879
13,7880
13,7881
13,7882
13,7883
13,7884
13,7885
13,7886
13,7887
13,7888
13,7889
13,7890
13,7891
13,7892
13,7893
13,7894
13,7895
13,7896
13,7897
13,7898
13,7899
13,7900
13,7901
13,7902
13,7903
13,7904
13,7905
14,5565
14,5566
14,5567
14,5568
14,5569
14,5570
14,5571
14,5572
14,5573
14,5574
14,5575
14,5576
14,5577
14,5578
14,5579
14,5580
14,5581
14,5582
14,5583
14,5584
14,5585
14,5586
14,5587
14,5588
14,5589
14,5590
14,5591
14,5592
14,5593
14,5594
14,5595
14,5596
14,5597
14,13175
14,13176
14,13177
14,13178
14,13179
14,13180
14,13181
14,13182
14,13183
14,13184
14,13185
14,13186
14,13187
14,13188
14,13189
14,13190
14,13191
14,13192
14,13193
14,13194
14,13195
14,13196
14,13197
14,13198
14,13199
14,13200
14,13201
14,13202
14,13203
14,18414
14,18415
14,18416
14,18417
14,18418
14,18419
14,18420
14,18421
14,18422
14,18423
14,18424
14,18425
14,18426
14,18427
14,18428
14,18429
14,18430
14,18431
14,18432
14,18433
14,18434
14,18435
14,49707
14,49708
14,49709
14,49710
14,49711
14,49712
14,49713
14,49714
14,49715
14,49716
14,49717
14,49718
14,58455
14,58456
14,58457
14,58458
14,58459
14,58460
14,58461
14,58462
14,58463
14,58464
14,58465
14,58466
14,58467
