Movie ID,Movie Title,Rating ID,Rating Value,Created At
270946,Penguins of Madagascar,107561,5.9,2025-10-17 18:02:48
630,The Wizard of Oz,110066,4.4,2025-10-17 18:02:48
630,The Wizard of Oz,110065,7.6,2025-10-17 18:02:48
630,The Wizard of Oz,110064,4.0,2025-10-17 18:02:48
630,The Wizard of Oz,110063,7.2,2025-10-17 18:02:48
630,The Wizard of Oz,110062,5.4,2025-10-17 18:02:48
630,The Wizard of Oz,110061,6.2,2025-10-17 18:02:48
630,The Wizard of Oz,110060,1.9,2025-10-17 18:02:48
630,The Wizard of Oz,110059,1.1,2025-10-17 18:02:48
630,The Wizard of Oz,110058,3.9,2025-10-17 18:02:48
630,The Wizard of Oz,110057,1.4,2025-10-17 18:02:48
630,The Wizard of Oz,110056,1.3,2025-10-17 18:02:48
630,The Wizard of Oz,110055,7.7,2025-10-17 18:02:48
630,The Wizard of Oz,110054,3.2,2025-10-17 18:02:48
630,The Wizard of Oz,110053,8.4,2025-10-17 18:02:48
630,The Wizard of Oz,110052,6.6,2025-10-17 18:02:48
630,The Wizard of Oz,110051,3.3,2025-10-17 18:02:48
630,The Wizard of Oz,110050,8.3,2025-10-17 18:02:48
630,The Wizard of Oz,110049,8.7,2025-10-17 18:02:48
630,The Wizard of Oz,110048,1.2,2025-10-17 18:02:48
630,The Wizard of Oz,110047,8.8,2025-10-17 18:02:48
630,The Wizard of Oz,110046,6.3,2025-10-17 18:02:48
630,The Wizard of Oz,110045,4.4,2025-10-17 18:02:48
630,The Wizard of Oz,110044,9.8,2025-10-17 18:02:48
630,The Wizard of Oz,110043,3.6,2025-10-17 18:02:48
630,The Wizard of Oz,110042,4.4,2025-10-17 18:02:48
630,The Wizard of Oz,110041,5.7,2025-10-17 18:02:48
630,The Wizard of Oz,110040,1.2,2025-10-17 18:02:48
630,The Wizard of Oz,110039,3.1,2025-10-17 18:02:48
630,The Wizard of Oz,110038,7.9,2025-10-17 18:02:48
630,The Wizard of Oz,110037,4.7,2025-10-17 18:02:48
630,The Wizard of Oz,110036,1.9,2025-10-17 18:02:48
